"T cells, Natural Killer (NK) cells, Cytotoxic T cells"
"Goblet cells, Enterocytes, Paneth cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Proliferating cells, Stem cells, Cancer cells"
"Plasma cells, B cells, Memory B cells"
"Schwann cells, Oligodendrocytes, Satellite glial cells"
"Enterocytes, Goblet cells, Epithelial cells"
"T cells, Thymocytes, Natural killer cells"
"Kupffer cells, Macrophages, Hepatic stellate cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"Neutrophils, Granulocytes, Myeloid cells"
"T cells, Thymocytes, Natural killer cells"
"Hepatocytes, Biliary epithelial cells, Cholangiocytes"
"Hepatocytes, Liver parenchymal cells, Biliary epithelial cells"
"B cells, Plasma cells, Memory B cells"
"Natural killer cells, Cytotoxic T cells, CD8+ T cells"
"Dendritic cells, Antigen-presenting cells, Monocytes"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Monocytes, Macrophages, Neutrophils"
"Dendritic cells, B cells, Antigen-presenting cells"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Epithelial cells, Club cells, Ciliated cells"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Lymphatic endothelial cells, Lymphatic smooth muscle cells, Lymphatic fibroblasts"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Plasmacytoid dendritic cells, Antigen-presenting cells, Monocytes"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Epithelial cells, Club cells, Ciliated cells"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Goblet cells, Enteroendocrine cells, Tuft cells"
"Schwann cells, Oligodendrocytes, Satellite glial cells"
"Monocytes, Macrophages, Neutrophils"
"Macrophages, Monocytes, Neutrophils"
"Club cells, Ciliated cells, Epithelial cells"
"Epithelial cells, Club cells, Ciliated cells"
"Goblet cells, Enteroendocrine cells, Tuft cells"
"Plasma cells, B cells, Memory B cells"
"B cells, Plasma cells, Memory B cells"
"Alveolar type II cells, Pneumocytes, Epithelial cells"
"T cells, Thymocytes, Natural killer cells"
"Cytotoxic T cells, Natural killer cells, CD8+ T cells"
"Natural killer cells, Cytotoxic T cells, CD8+ T cells"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Mast cells, Basophils, Eosinophils"
"Monocytes, Macrophages, Neutrophils"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Ciliated cells, Epithelial cells, Club cells"
"Dendritic cells, Antigen-presenting cells, Monocytes"
"Basal cells, Squamous epithelial cells, Keratinocytes"
"Club cells, Ciliated cells, Epithelial cells"
"Macrophages, Monocytes, Dendritic cells"
"Macrophages, Monocytes, Neutrophils"
"Mast cells, Basophils, Eosinophils"
"Plasmacytoid dendritic cells, Antigen-presenting cells, Monocytes"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"T cells, Thymocytes, Natural killer cells"
"B cells, Plasma cells, Memory B cells"
"B cells, Plasma cells, Memory B cells"
"T cells, Thymocytes, Natural killer cells"
"Cytotoxic T cells, Natural killer cells, CD8+ T cells"
"Natural killer cells, Cytotoxic T cells, CD8+ T cells"
"Monocytes, Macrophages, Neutrophils"
"Dendritic cells, Antigen-presenting cells, Monocytes"
"Macrophages, Monocytes, Neutrophils"
"Plasmacytoid dendritic cells, Antigen-presenting cells, Monocytes"
"Endothelial cells, Vascular smooth muscle cells, Pericytes"
"Macrophages, Monocytes, Neutrophils"
"B cells, Dendritic cells, Monocytes"
"CD8+ T cells, Natural Killer cells, Cytotoxic T cells"
"T cells, Natural Killer T cells, Innate Lymphoid Cells"
"CD4+ T cells, Helper T cells, T cells"
"T cells, B cells, Dendritic cells"
"T cells, CD4+ T cells, Helper T cells"
"Plasma cells, B cells, Memory B cells"
"Neutrophils, Monocytes, Myeloid cells"
"Monocytes, Macrophages, Myeloid cells"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Macrophages, Monocytes, Myeloid cells"
"Regulatory T cells, T cells, Helper T cells"
"Myoepithelial cells, Basal epithelial cells, Epithelial cells"
"Mast cells, Basophils, Eosinophils"
"Natural Killer cells, Cytotoxic T cells, Innate Lymphoid Cells"
"Lymphatic endothelial cells, Dendritic cells, Macrophages"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Plasma cells, B cells, Memory B cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Smooth muscle cells, Pericytes, Cardiac muscle cells"
"Macrophages, Monocytes, Myeloid cells"
"Luminal epithelial cells, Epithelial cells, Mammary epithelial cells"
"T cells, Lymphocytes, T helper cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"B cells, Memory B cells, Plasma cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Mesothelial cells, Epithelial cells, Serosal cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"Mast cells, Basophils, Eosinophils"
"Cardiac muscle cells, Myocytes, Cardiomyocytes"
"Skeletal muscle cells, Myocytes, Myofibers"
"Tendon cells, Fibroblasts, Tenocytes"
"T cells, Lymphocytes, Helper T cells"
"Adipocytes, Mesenchymal stem cells, Preadipocytes"
"Macrophages, Monocytes, Myeloid cells"
"T cells, Lymphocytes, Helper T cells"
"T cells, Lymphocytes, Helper T cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"Lymphatic endothelial cells, Lymphocytes, Dendritic cells"
"Adipocytes, Mesenchymal stem cells, Preadipocytes"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Neuroendocrine cells, Pancreatic polypeptide cells, Enteroendocrine cells"
"Pancreatic endocrine cells, Neuroendocrine cells, Enteroendocrine cells"
"Pancreatic polypeptide cells, Neuroendocrine cells, Enteroendocrine cells"
"Mast cells, Basophils, Eosinophils"
"Beta cells, Pancreatic endocrine cells, Islet cells"
"Plasma cells, B cells, Memory B cells"
"Ductal cells, Epithelial cells, Pancreatic duct cells"
"B cells, Memory B cells, Plasma cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"Macrophages, Monocytes, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"T cells, Lymphocytes, Helper T cells"
"Acinar cells, Exocrine cells, Pancreatic acinar cells"
"Macrophages, Monocytes, Myeloid cells"
"T cells, Lymphocytes, Helper T cells"
"Epithelial cells, Luminal epithelial cells, Glandular epithelial cells"
"Neutrophils, Myeloid cells, Granulocytes"
"Epithelial cells, Glandular epithelial cells, Luminal epithelial cells"
"Basal epithelial cells, Epithelial cells, Luminal epithelial cells"
"Macrophages, Monocytes, Myeloid cells"
"Mast cells, Basophils, Eosinophils"
"Macrophages, Monocytes, Myeloid cells"
"Smooth muscle cells, Vascular smooth muscle cells, Pericytes"
"Epithelial cells, Glandular epithelial cells, Luminal epithelial cells"
"Prostate epithelial cells, Luminal epithelial cells, Glandular epithelial cells"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"T cells, Lymphocytes, Helper T cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Macrophages, Monocytes, Myeloid cells"
"Fibroblasts, Stromal cells, Myofibroblasts"
"Epithelial cells, Luminal epithelial cells, Glandular epithelial cells"
"Basal epithelial cells, Epithelial cells, Luminal epithelial cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Epithelial cells, Ductal cells, Luminal epithelial cells"
"Basal epithelial cells, Epithelial cells, Luminal epithelial cells"
"T cells, Lymphocytes, Helper T cells"
"Neutrophils, Myeloid cells, Granulocytes"
"Epithelial cells, Ductal cells, Luminal epithelial cells"
"Ribosomal proteins, Housekeeping genes, Protein synthesis-related genes"
"Macrophages, Monocytes, Myeloid cells"
"Proliferating cells, Mitotic cells, Cycling cells"
"Plasma cells, B cells, Memory B cells"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells"
"Macrophages, Monocytes, Myeloid cells"
"T cells, Lymphocytes, Helper T cells"
"Proliferating cells, Mitotic cells, Cycling cells"
"Epithelial cells, Ductal cells, Luminal epithelial cells"
"B cells, Memory B cells, Plasma cells"
"B cells, Memory B cells, Plasma cells"
"T cells, Lymphocytes, Helper T cells"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"B cells, Plasma cells, Memory B cells"
"Dendritic cells, Langerhans cells, Antigen-presenting cells"
"B cells, Plasma cells, Memory B cells"
"Helper T cells, CD4+ T cells, Regulatory T cells"
"Plasma cells, B cells, Memory B cells"
"Epithelial cells, Secretory epithelial cells, Glandular epithelial cells"
"Regulatory T cells, Helper T cells, CD4+ T cells"
"Melanocytes, Pigment cells, Skin cells"
"Naive T cells, Central memory T cells, T helper cells"
"Smooth muscle cells, Myocytes, Muscle cells"
"Natural Killer T cells, Cytotoxic T cells, CD8+ T cells"
"Smooth muscle cells, Myocytes, Muscle cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Cytotoxic T cells, CD8+ T cells, T lymphocytes"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Macrophages, Monocytes, Antigen-presenting cells"
"Mast cells, Basophils, Granulocytes"
"Smooth muscle cells, Myocytes, Muscle cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"Natural Killer T cells, Cytotoxic T cells, CD8+ T cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Mast cells, Basophils, Granulocytes"
"Gastric epithelial cells, Mucus-secreting cells, Chief cells"
"Mitochondrial cells, Pseudogenes, Non-coding RNA"
"Neuroendocrine cells, Enteroendocrine cells, Hormone-secreting cells"
"Hepatocytes, Liver cells, Detoxifying cells"
"Intestinal stem cells, Progenitor cells, Regenerative cells"
"Cancer-associated fibroblasts, Tumor cells, Cancer cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Neuroendocrine cells, Enteroendocrine cells, Hormone-secreting cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"Plasma cells, B cells, Memory B cells"
"Epithelial cells, Secretory epithelial cells, Glandular epithelial cells"
"Fibroblasts, Myofibroblasts, Mesenchymal cells"
"B cells, Plasma cells, Memory B cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Goblet cells, Mucus-secreting cells, Intestinal epithelial cells"
"Proliferating cells, Stem cells, Dividing cells"
"Macrophages, Monocytes, Antigen-presenting cells"
"Enterocytes, Intestinal epithelial cells, Absorptive cells"
"Innate lymphoid cells, Helper T cells, CD4+ T cells"
"Mast cells, Basophils, Granulocytes"
"Mast cells, Basophils, Granulocytes"
"Erythrocytes, Red blood cells, Hematopoietic cells"
"Regulatory T cells, Helper T cells, CD4+ T cells"
"Platelets, Thrombocytes, Blood cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Gamma delta T cells, Natural Killer T cells, Cytotoxic T cells"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"B cells, Plasma cells, Memory B cells"
"Proliferating cells, Stem cells, Dividing cells"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Macrophages, Monocytes, Antigen-presenting cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Natural Killer T cells, Cytotoxic T cells, CD8+ T cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Macrophages, Monocytes, Antigen-presenting cells"
"Neutrophils, Granulocytes, Myeloid cells"
"B cells, Plasma cells, Memory B cells"
"Plasma cells, B cells, Memory B cells"
"B cells, Plasma cells, Memory B cells"
"B cells, Plasma cells, Memory B cells"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Plasma cells, B cells, Memory B cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"B cells, Plasma cells, Memory B cells"
"Mast cells, Basophils, Granulocytes"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"Muscle cells, Myocytes, Contractile cells"
"Dendritic cells, Antigen-presenting cells, Immune cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Mast cells, Basophils, Granulocytes"
"Epithelial cells, Secretory epithelial cells, Glandular epithelial cells"
"Macrophages, Monocytes, Antigen-presenting cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Regulatory T cells, Helper T cells, CD4+ T cells"
"T lymphocytes, Helper T cells, CD4+ T cells"
"Cytotoxic T cells, CD8+ T cells, Natural Killer cells"
"Proliferating cells, Stem cells, Dividing cells"
"Erythrocytes, Red blood cells, Hematopoietic cells"
"Epithelial cells, Secretory epithelial cells, Glandular epithelial cells"
"B cells, Plasma cells, Memory B cells"
"Macrophages, Monocytes, Kupffer cells"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Plasma cells, B cells, Plasmablasts"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Endothelial cells, Pericytes, Vascular smooth muscle cells"
"Keratinocytes, Epithelial cells, Squamous epithelial cells"
"Skeletal muscle cells, Myoblasts, Satellite cells"
"Schwann cells, Glial cells, Myelinating Schwann cells"
"Lymphatic endothelial cells, Lymphatic cells, Endothelial cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"T cells, Lymphocytes, Helper T cells"
"Keratinocytes, Epithelial cells, Basal keratinocytes"
"Plasma cells, B cells, Plasmablasts"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Secretory cells, Glandular epithelial cells, Serous cells"
"T cells, Regulatory T cells, Helper T cells"
"Neutrophils, Granulocytes, Myeloid cells"
"T cells, Helper T cells, Regulatory T cells"
"B cells, Plasma cells, Memory B cells"
"Secretory cells, Glandular epithelial cells, Serous cells"
"T cells, Cytotoxic T cells, Helper T cells"
"Plasma cells, B cells, Memory B cells"
"Epithelial cells, Glandular epithelial cells, Secretory cells"
"Mast cells, Basophils, Granulocytes"
"Basal cells, Epithelial cells, Keratinocytes"
"Macrophages, Monocytes, Kupffer cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Epithelial cells, Glandular epithelial cells, Secretory cells"
"Epithelial cells, Glandular epithelial cells, Secretory cells"
"Epithelial cells, Glandular epithelial cells, Secretory cells"
"T cells, Helper T cells, Cytotoxic T cells"
"Ciliated epithelial cells, Respiratory epithelial cells, Multiciliated cells"
"Ciliated epithelial cells, Multiciliated cells, Motile ciliated cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"B cells, Plasma cells, Memory B cells"
"Natural killer cells, T cells, Cytotoxic T cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Lymphatic endothelial cells, Endothelial cells, Vascular endothelial cells"
"Proliferating cells, Mitotic cells, Cycling cells"
"T cells, Helper T cells, Cytotoxic T cells"
"Epithelial cells, Glandular epithelial cells, Secretory cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Proliferating cells, Mitotic cells, Cycling cells"
"Macrophages, Monocytes, Kupffer cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Lymphatic endothelial cells, Endothelial cells, Vascular endothelial cells"
"Plasma cells, B cells, Plasmablasts"
"Natural killer cells, Cytotoxic T cells, T cells"
"B cells, Plasma cells, Memory B cells"
"Mast cells, Basophils, Granulocytes"
"T cells, Helper T cells, Cytotoxic T cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Endothelial cells, Pericytes, Vascular smooth muscle cells"
"Macrophages, Monocytes, Kupffer cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Fibroblasts, Mesenchymal stem cells, Myofibroblasts"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Erythrocytes, Red blood cells, Erythroid cells"
"Mesothelial cells, Epithelial cells, Serous epithelial cells"
