"T cells, Cytotoxic T cells, Helper T cells"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"T cells, Helper T cells, Naive T cells"
"Cytotoxic T cells, CD8+ T cells, NK cells"
"Megakaryocyte progenitor cells, Platelets, Hematopoietic stem cells"
"B cells, Memory B cells, Naive B cells"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Erythrocytes, Reticulocytes, Erythroid precursor cells"
"Hematopoietic stem cells, Progenitor cells, Uncharacterized progenitors"
"Plasma cells, B cells, Memory B cells"
"Monocytes, Macrophages, Dendritic cells"
"Macrophages, Monocytes, Dendritic cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Plasma cells, B cells, Memory B cells"
"Macrophages, Monocytes, Dendritic cells"
"Erythrocytes, Reticulocytes, Erythroid precursor cells"
"Proliferating cells, Stem cells, Basal epithelial cells"
"T cells, Naive T cells, Uncharacterized lymphocytes"
"Mast cells, Basophils, Myeloid progenitor cells"
"Neuronal cells, Retinal cells, Photoreceptors"
"Smooth muscle cells, Fibroblasts, Mesenchymal stem cells"
"Adipocytes, Fat cells, Lipid-laden cells"
"Myoblasts, Skeletal muscle cells, Muscle progenitor cells"
"Retinal ganglion cells, Neurons, Photoreceptors"
"Smooth muscle cells, Muscle cells, Myofibroblasts"
"Melanocytes, Pigment epithelial cells, Retinal cells"
"Photoreceptors, Rod cells, Retinal cells"
"Corneal epithelial cells, Epithelial cells, Ocular surface cells"
"Secretory cells, Goblet cells, Epithelial cells"
"Epithelial cells, Mucosal epithelial cells, Corneal epithelial cells"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"Macrophages, Microglia, Dendritic cells"
"Corneal stromal cells, Keratocytes, Fibroblasts"
"T cells, Helper T cells, Naive T cells"
"Retinal pigment epithelial cells, Muller glia, Neuronal cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Secretory acinar cells, Salivary gland cells, Epithelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"B cells, Memory B cells, Naive B cells"
"Retinal pigment epithelial cells, Photoreceptors, Retinal cells"
"Retinal progenitor cells, Neural stem cells, Neuroepithelial cells"
"Plasma cells, B cells, Memory B cells"
"Platelets, Erythrocytes, Hematopoietic cells"
"Uncharacterized cells, Hematopoietic progenitor cells, Progenitor cells"
"Smooth muscle cells, Adipocytes, Progenitor cells"
"Endothelial cells, Fibroblasts, Adipocytes"
"Platelets, Erythrocytes, Megakaryocytes"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Macrophages, Monocytes, Dendritic cells"
"T cells, Helper T cells, Naive T cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells"
"Fibroblasts, Adipocytes, Mesenchymal stem cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Caveolar endothelial cells"
"Cardiomyocytes, Cardiac muscle cells, Myocytes"
"Cardiac progenitor cells, Epicardial cells, Epithelial cells"
"Pericytes, Vascular smooth muscle cells, Endothelial cells"
"Fibroblasts, Extracellular matrix-producing cells, Stromal cells"
"Macrophages, Monocytes, Myeloid cells"
"T cells, Helper T cells, Memory T cells"
"Natural Killer cells, Cytotoxic lymphocytes, NK cells"
"Monocytes, Macrophages, Myeloid cells"
"T cells, Effector T cells, Memory T cells"
"B cells, Memory B cells, Plasma cells"
"Proximal tubule cells, Renal tubular epithelial cells, Collecting duct cells"
"Endothelial cells, Fibroblasts, Mesangial cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Epithelial cells, Goblet cells, Enterocytes"
"Colon epithelial cells, Enterocytes, Absorptive cells"
"Intestinal stem cells, Crypt stem cells, Progenitor cells"
"Enterocytes, Epithelial cells, Absorptive cells"
"Tuft cells, Brush cells, Chemosensory cells"
"Macrophages, Monocytes, Myeloid cells"
"Enteroendocrine cells, Neuroendocrine cells, Hormone-producing cells"
"Epithelial cells, Goblet cells, Enterocytes"
"Mast cells, Basophils, Granulocytes"
"Cytotoxic T cells, CD8+ T cells, NK cells"
"B cells, Antigen-presenting cells, Dendritic cells"
"Best4+ enterocytes, Ion-transporting cells, Specialized epithelial cells"
"Goblet cells, Mucus-producing cells, Secretory epithelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Proliferating cells, Stem cells, Transit-amplifying cells"
"Plasma cells, Immunoglobulin-secreting cells, B cells"
"Endothelial cells, Smooth muscle cells, Schwann cells"
"Epithelial cells, Enterocytes, Secretory cells"
"T cells, Natural Killer T cells, Innate lymphoid cells"
"Astrocytes, Glial cells, Schwann cells"
"Erythrocytes, Red blood cells, Erythroid cells"
"Neutrophils, Granulocytes, Myeloid cells"
"T cells, Helper T cells, Memory T cells"
"Biliary epithelial cells, Cholangiocytes, Hepatic progenitor cells"
"Hepatocytes, Liver parenchymal cells, Functional liver cells"
"B cells, Memory B cells, Plasma cells"
"Natural Killer cells, Cytotoxic lymphocytes, NK cells"
"Dendritic cells, Antigen-presenting cells, Plasmacytoid dendritic cells"
"Endothelial cells, Liver sinusoidal endothelial cells, Vascular endothelial cells"
"Monocytes, Macrophages, Kupffer cells"
"Antigen-presenting cells, Dendritic cells, B cells"
"Stellate cells, Hepatic stellate cells, Pericytes"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"Endothelial cells, Lymphatic endothelial cells, Blood vessel endothelial cells"
"Basal cells, Epithelial progenitor cells, Airway basal cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Fibroblasts, Interstitial cells, Stromal cells"
"Lymphatic endothelial cells, Lymphatic vessel cells, Endothelial cells"
"Smooth muscle cells, Airway smooth muscle cells, Myocytes"
"Dendritic cells, Plasmacytoid dendritic cells, Antigen-presenting cells"
"Pericytes, Vascular smooth muscle cells, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Epithelial cells, Secretory epithelial cells, Airway epithelial cells"
"Pericytes, Vascular smooth muscle cells, Mesenchymal cells"
"Clara cells, Club cells, Secretory epithelial cells"
"Epithelial cells, Airway epithelial cells, Secretory epithelial cells"
"Monocytes, Macrophages, Myeloid cells"
"Macrophages, Alveolar macrophages, Myeloid cells"
"Secretory epithelial cells, Goblet cells, Airway epithelial cells"
"Mucous cells, Serous cells, Secretory epithelial cells"
"Secretory epithelial cells, Goblet cells, Mucous cells"
"Plasma cells, Immunoglobulin-secreting cells, B cells"
"B cells, Memory B cells, Plasma cells"
"Type II alveolar cells, Pneumocytes, Alveolar epithelial cells"
"T cells, Helper T cells, Memory T cells"
"Cytotoxic T cells, CD8+ T cells, Cytotoxic lymphocytes"
"Natural Killer cells, Cytotoxic lymphocytes, NK cells"
"Endothelial cells, Inflammatory cells, Vascular endothelial cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Mast cells, Basophils, Granulocytes"
"Monocytes, Macrophages, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Ciliated epithelial cells, Airway epithelial cells, Respiratory epithelial cells"
"Dendritic cells, Antigen-presenting cells, Plasmacytoid dendritic cells"
"Basal cells, Epithelial progenitor cells, Keratinocytes"
"Secretory epithelial cells, Clara cells, Club cells"
"Macrophages, Monocytes, Myeloid cells"
"Macrophages, Monocytes, Myeloid cells"
"Mast cells, Basophils, Granulocytes"
"Plasmacytoid dendritic cells, Dendritic cells, Antigen-presenting cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Erythrocytes, Red blood cells, Erythroid cells"
"T cells, Helper T cells, Memory T cells"
"B cells, Memory B cells, Plasma cells"
"B cells, Memory B cells, Plasma cells"
"T cells, Helper T cells, Memory T cells"
"Cytotoxic T cells, CD8+ T cells, Cytotoxic lymphocytes"
"Natural Killer cells, Cytotoxic lymphocytes, NK cells"
"Monocytes, Macrophages, Myeloid cells"
"Dendritic cells, Langerhans cells, Antigen-presenting cells"
"Macrophages, Monocytes, Myeloid cells"
"Progenitor cells, Stem cells, Mesenchymal stem cells"
"Endothelial cells, Vascular endothelial cells, Blood vessel endothelial cells"
"Macrophages, Monocytes, Myeloid cells"
"B cells, Dendritic cells, Monocytes"
"CD8+ T cells, NK cells, Cytotoxic T cells"
"MAIT cells, NKT cells, Memory T cells"
"CD4+ T cells, Naïve T cells, Memory T cells"
"B cells, Dendritic cells, Monocytes"
"Naïve T cells, Memory T cells, T helper cells"
"Plasma cells, Antibody-secreting cells, Mature B cells"
"Neutrophils, Monocytes, Granulocytes"
"Monocytes, Neutrophils, Macrophages"
"NK cells, Cytotoxic T cells, NKT cells"
"Macrophages, Monocytes, Dendritic cells"
"Regulatory T cells, CD4+ T cells, Activated T cells"
"Myoepithelial cells, Basal epithelial cells, Smooth muscle cells"
"Mast cells, Basophils, Granulocytes"
"NK cells, NKT cells, Cytotoxic lymphocytes"
"Lymphatic endothelial cells, Endothelial cells, Lymphatic vessels"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"Plasma cells, Antibody-secreting cells, Mature B cells"
"Endothelial cells, Microvascular endothelial cells, Vascular endothelial cells"
"Pericytes, Vascular smooth muscle cells, Smooth muscle cells"
"Cardiac muscle cells, Smooth muscle cells, Vascular smooth muscle cells"
"Macrophages, Monocytes, Myeloid cells"
"Epithelial cells, Luminal epithelial cells, Mammary gland epithelial cells"
"T cells, NKT cells, Lymphocytes"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"B cells, Mature B cells, Naïve B cells"
"Smooth muscle cells, Pericytes, Vascular smooth muscle cells"
"NK cells, Cytotoxic T cells, NKT cells"
"Mesothelial cells, Epithelial cells, Serosal cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"Mast cells, Basophils, Granulocytes"
"Cardiac muscle cells, Skeletal muscle cells, Myocytes"
"Skeletal muscle cells, Myocytes, Muscle fibers"
"Tendon cells, Tenocytes, Fibroblasts"
"T cells, Memory T cells, Naïve T cells"
"Satellite cells, Muscle stem cells, Myoblasts"
"Macrophages, Monocytes, Myeloid cells"
"T cells, Memory T cells, Naïve T cells"
"T cells, Memory T cells, Naïve T cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Arterial endothelial cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Lymphatic endothelial cells, Endothelial cells, Lymphatic vessels"
"Adipocytes, Fat cells, Lipid-storing cells"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"Neuroendocrine cells, Enteroendocrine cells, Neurons"
"Endocrine cells, Pancreatic polypeptide cells, Neuroendocrine cells"
"PP cells, Pancreatic polypeptide-secreting cells, Endocrine cells"
"Mast cells, Basophils, Granulocytes"
"Beta cells, Insulin-secreting cells, Endocrine cells"
"Plasma cells, Antibody-secreting cells, Mature B cells"
"Ductal epithelial cells, Pancreatic duct cells, Epithelial cells"
"B cells, Mature B cells, Naïve B cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"NK cells, Cytotoxic T cells, NKT cells"
"Fibroblasts, Myofibroblasts, Stellate cells"
"Macrophages, Monocytes, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"T cells, Memory T cells, Naïve T cells"
"Acinar cells, Exocrine cells, Digestive enzyme-secreting cells"
"Epithelial cells, Basal epithelial cells, Prostate basal cells"
"T cells, Memory T cells, Naïve T cells"
"Luminal epithelial cells, Prostate epithelial cells, Secretory epithelial cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Luminal epithelial cells, Prostate epithelial cells, Secretory epithelial cells"
"Basal epithelial cells, Prostate basal cells, Epithelial cells"
"Schwann cells, Glial cells, Peripheral nervous system cells"
"Mast cells, Basophils, Granulocytes"
"Macrophages, Monocytes, Dendritic cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Club cells, Respiratory epithelial cells, Secretory cells"
"Luminal epithelial cells, Prostate secretory cells, Epithelial cells"
"NK cells, Cytotoxic T cells, NKT cells"
"T cells, Memory T cells, Naïve T cells"
"Erythrocytes, Red blood cells, Reticulocytes"
"Cytotoxic T cells, NK cells, Effector T cells"
"Macrophages, Monocytes, Dendritic cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Luminal epithelial cells, Prostate epithelial cells, Secretory epithelial cells"
"Basal epithelial cells, Prostate basal cells, Epithelial cells"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"Epithelial cells, Acinar cells, Secretory epithelial cells"
"Basal epithelial cells, Myoepithelial cells, Epithelial cells"
"T cells, Memory T cells, Naïve T cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Mucous cells, Secretory epithelial cells, Acinar cells"
"Epithelial cells, Acinar cells, Secretory epithelial cells"
"Macrophages, Monocytes, Dendritic cells"
"Dividing cells, Proliferating cells, Mitotic cells"
"Plasma cells, Antibody-secreting cells, Mature B cells"
"Smooth muscle cells, Myoepithelial cells, Muscle cells"
"Macrophages, Monocytes, Dendritic cells"
"Epithelial cells, Acinar cells, Secretory epithelial cells"
"Dividing cells, Proliferating cells, Mitotic cells"
"Acinar cells, Serous cells, Secretory epithelial cells"
"B cells, Mature B cells, Naïve B cells"
"B cells, Mature B cells, Naïve B cells"
"T cells, Memory T cells, Naïve T cells"
"Smooth muscle cells, Myoepithelial cells, Muscle cells"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"NK cells, CD8+ T cells, Cytotoxic lymphocytes"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Platelet precursor cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"CD8+ T cells, Cytotoxic T cells, NK cells"
"B cells, Plasma cells, Memory B cells"
"Langerhans cells, Dendritic cells, Antigen-presenting cells"
"B cells, Plasma cells, Memory B cells"
"CD4+ T cells, Helper T cells, Regulatory T cells"
"Plasma cells, B cells, IgA-producing plasma cells"
"Secretory epithelial cells, Glandular epithelial cells, Exocrine gland cells"
"Regulatory T cells, Suppressor T cells, CD4+CD25+FOXP3+ T cells"
"Melanocytes, Pigment-producing cells, Melanoblasts"
"Naïve T cells, Central memory T cells, T lymphocytes"
"Smooth muscle cells, Skeletal muscle cells, Myocytes"
"NK cells, NK T cells, Cytotoxic lymphocytes"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"CD8+ T cells, Cytotoxic T lymphocytes, Naïve T cells"
"Dendritic cells, Mature dendritic cells, Antigen-presenting cells"
"T cells, T lymphocytes, CD4+ T cells"
"Monocytes, Macrophages, Inflammatory macrophages"
"Mast cells, Basophils, Allergy-associated cells"
"Smooth muscle cells, Myofibroblasts, Mesenchymal cells"
"CD8+ T cells, Cytotoxic T cells, T lymphocytes"
"Dendritic cells, Mature dendritic cells, Antigen-presenting cells"
"NK T cells, T cells, NK cells"
"T cells, T lymphocytes, CD4+ T cells"
"Mast cells, Basophils, Allergy-associated cells"
"Gastric chief cells, Mucous neck cells, Gastric epithelial cells"
"Mitochondria-rich cells, Erythrocyte precursors, Dying cells"
"Enteroendocrine cells, Neuroendocrine cells, Hormone-secreting intestinal cells"
"Enterocytes, Absorptive intestinal epithelial cells, Intestinal epithelial cells"
"Intestinal stem cells, Crypt base columnar cells, Progenitor intestinal epithelial cells"
"Intestinal stem cells, Proliferative intestinal cells, Crypt cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Enteroendocrine cells, Neuroendocrine cells, Hormone-secreting intestinal cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Plasma cells, B cells, IgA-secreting plasma cells"
"Goblet cells, Mucus-secreting cells, Intestinal epithelial cells"
"Myofibroblasts, Fibroblasts, Mesenchymal cells"
"B cells, Plasma cells, Memory B cells"
"CD8+ T cells, Cytotoxic T lymphocytes, NK cells"
"Goblet cells, Mucus-secreting cells, Intestinal epithelial cells"
"Proliferating cells, Dividing cells, Intestinal epithelial stem cells"
"Macrophages, Monocytes, Phagocytes"
"Enterocytes, Absorptive intestinal epithelial cells, Intestinal epithelial cells"
"NK T cells, T helper cells, Innate lymphoid cells"
"Paneth cells, M cells, Specialized epithelial cells"
"Hematopoietic stem cells, Progenitor cells, Hematopoietic progenitor cells"
"Erythroblasts, Erythroid progenitor cells, Red blood cell precursors"
"Regulatory T cells, Suppressor T cells, CD4+CD25+FOXP3+ T cells"
"Platelets, Megakaryocytes, Thrombocytes"
"Neutrophils, Granulocytes, Myeloid cells"
"Gamma delta T cells, TRDC-positive T cells, Innate-like T cells"
"Dendritic cells, Antigen-presenting cells, Conventional dendritic cells"
"B cells, Plasma cells, Memory B cells"
"Proliferating cells, Dividing cells, Hematopoietic progenitor cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Dendritic cells, Antigen-presenting cells, Langerhans cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Macrophages, Monocytes, Phagocytes"
"T cells, T lymphocytes, CD4+ T cells"
"NK T cells, Gamma delta T cells, Cytotoxic T cells"
"CD8+ T cells, Cytotoxic T cells, T lymphocytes"
"Neutrophils, Granulocytes, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"CD4+ T cells, Helper T cells, Naïve T cells"
"Monocytes, Macrophages, Myeloid cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Naïve B cells, B cells, Lymphocytes"
"Plasma cells, B cells, Antibody-secreting cells"
"B cells, Memory B cells, Plasma cells"
"B cells, Memory B cells, Plasma cells"
"Dendritic cells, Antigen-presenting cells, Plasmacytoid dendritic cells"
"T cells, T lymphocytes, CD3+ T cells"
"Cytotoxic T cells, CD8+ T cells, NK cells"
"B cells, Plasma cells, Memory B cells"
"Cytotoxic T cells, CD8+ T cells, NK cells"
"Naïve B cells, B cells, Lymphocytes"
"NK cells, NK T cells, Cytotoxic lymphocytes"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"Myocytes, Skeletal muscle cells, Muscle fibers"
"Dendritic cells, Antigen-presenting cells, Plasmacytoid dendritic cells"
"Epithelial cells, Mucosal epithelial cells, Surface epithelial cells"
"Thymocytes, T cell precursors, Immature T cells"
"Mast cells, Basophils, Allergy-associated cells"
"Epithelial cells, Secretory epithelial cells, Mucus-secreting cells"
"Neutrophils, Granulocytes, Myeloid cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"T cells, T lymphocytes, CD4+ T cells"
"Regulatory T cells, Suppressor T cells, CD4+CD25+FOXP3+ T cells"
"T cells, Thymocytes, Immature T cells"
"Cytotoxic T cells, CD8+ T cells, NK cells"
"Proliferating cells, Dividing cells, Thymic progenitor cells"
"Erythroblasts, Erythroid progenitor cells, Red blood cell precursors"
"Epithelial cells, Thymic epithelial cells, Medullary thymic epithelial cells"
"B cells, Memory B cells, Plasma cells"
"Macrophages, Monocytes, Dendritic cells"
"Smooth muscle cells, Myofibroblasts, Pericytes"
"Plasma cells, Activated B cells, B cells"
"Endothelial cells, Capillary endothelial cells, Vascular endothelial cells"
"Endothelial cells, Microvascular endothelial cells, Capillary endothelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Neurons, Schwann cells, Glial cells"
"Epithelial cells, Keratinocytes, Squamous epithelial cells"
"Muscle satellite cells, Myoblasts, Skeletal muscle cells"
"Schwann cells, Glial cells, Neural crest-derived cells"
"Lymphatic endothelial cells, Neurons, Neural progenitor cells"
"Endothelial cells, Vascular endothelial cells, Endothelial progenitor cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"T cells, Lymphocytes, B cells"
"Basal epithelial cells, Keratinocytes, Epithelial progenitor cells"
"Plasma cells, Activated B cells, B cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Goblet cells, Mucous cells, Secretory epithelial cells"
"Ciliated epithelial cells, Airway epithelial cells, Basal epithelial cells"
"Neutrophils, Granulocytes, Polymorphonuclear cells"
"CD4+ T helper cells, Helper T cells, Activated T cells"
"B cells, Mature B cells, Antigen-presenting cells"
"Secretory epithelial cells, Mucous cells, Club cells"
"CD8+ T cells, Cytotoxic T cells, T lymphocytes"
"Plasma cells, B cells, Plasmablasts"
"Thyroid follicular cells, Salivary gland cells, Epithelial cells"
"Mast cells, Basophils, Granulocytes"
"Basal epithelial cells, Basal keratinocytes, Epithelial progenitor cells"
"Macrophages, Monocytes, Phagocytes"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Pericytes, Smooth muscle cells, Vascular smooth muscle cells"
"Epithelial cells, Mucosal epithelial cells, Ciliated epithelial cells"
"Pulmonary ionocytes, Ion-transporting epithelial cells, Secretory epithelial cells"
"Ciliated epithelial cells, Airway epithelial cells, Club cells"
"T cells, CD4+ T helper cells, Helper T cells"
"Ciliated epithelial cells, Multiciliated cells, Airway epithelial cells"
"Ciliated epithelial cells, Multiciliated cells, Epithelial cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"B cells, Mature B cells, Activated B cells"
"NK cells, Gamma delta T cells, Innate lymphoid cells"
"Smooth muscle cells, Myocytes, Vascular smooth muscle cells"
"Endothelial cells, Lymphatic endothelial cells, Vascular endothelial cells"
"Proliferating cells, Cycling cells, Cell cycle active cells"
"T cells, Lymphocytes, CD8+ T cells"
"Epithelial cells, Glandular epithelial cells, Luminal epithelial cells"
"Pericytes, Vascular smooth muscle cells, Mural cells"
"Proliferating NK cells, NK cells, Cycling lymphocytes"
"Macrophages, Monocytes, Myeloid cells"
"Fibroblasts, Stromal cells, Mesenchymal cells"
"Endothelial cells, Vascular endothelial cells, Activated endothelial cells"
"Lymphatic endothelial cells, Endothelial cells, Lymphatic cells"
"Plasma cells, B cells, Plasmablasts"
"NK cells, Cytotoxic T cells, CD8+ T cells"
"B cells, Mature B cells, Naive B cells"
"Mast cells, Basophils, Granulocytes"
"T cells, Memory T cells, Activated T cells"
"Vascular smooth muscle cells, Pericytes, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Microvascular endothelial cells"
"Macrophages, Monocytes, Myeloid cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes"
"Fibroblasts, Mesenchymal cells, Stromal cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells"
"Erythrocytes, Erythroid precursors, Red blood cells"
"Mesothelial cells, Serous epithelial cells, Epithelial cells"
