"T cells, Helper T cells, Cytotoxic T cells, NK T cells, Lymphocytes"
"Erythroid progenitors, Megakaryocytes, Red blood cells, Proerythroblasts, Hematopoietic progenitor cells"
"Smooth muscle cells, Pericytes, Muscle cells, Myocytes, Mesenchymal cells"
"Adipocytes, Fibroblasts, Stromal cells, Mesenchymal stem cells, Pre-adipocytes"
"Unclassified cells, Low-quality cells, Technical artifacts, Noise, Apoptotic cells"
"Neutrophils, Granulocytes, Myeloid cells, Polymorphonuclear leukocytes, Inflammatory cells"
"NK cells, Natural Killer cells, Cytotoxic lymphocytes, Innate lymphoid cells, NK T cells"
"Macrophages, Monocytes, M2 macrophages, Phagocytes, Antigen-presenting cells"
"T cells, T lymphocytes, Helper T cells, Naive T cells, Memory T cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells, Blood vessel cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Connective tissue cells, Myofibroblasts"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes, Mesenchymal cells"
"Endothelial cells, Macrophages, Adipocytes, Smooth muscle cells, Fibroblasts"
"Cardiomyocytes, Smooth muscle cells, Skeletal muscle cells, Fibroblasts, Muscle progenitor cells"
"Epithelial cells, Mesothelial cells, Cardiac progenitor cells, Endocardial cells, Stem cells"
"Vascular smooth muscle cells, Pericytes, Fibroblasts, Endothelial cells, Mesenchymal cells"
"Fibroblasts, Mesenchymal cells, Stromal cells, Smooth muscle cells, Pericytes"
"Macrophages, Monocytes, Dendritic cells, Natural Killer cells, Leukocytes"
"T cells, CD4⁺ T cells, CD8⁺ T cells, Natural Killer T cells, Regulatory T cells"
"Natural Killer cells, Cytotoxic T cells, CD8⁺ T cells, Cytotoxic lymphocytes, Natural Killer T cells"
"Monocytes, Macrophages, Neutrophils, Dendritic cells, Myeloid cells"
"T cells, Cytotoxic T cells, Natural Killer T cells, Natural Killer cells, Memory T cells"
"B cells, Plasma cells, Memory B cells, B lymphocytes, Antibody-secreting cells"
"Distal convoluted tubule cells, Kidney epithelial cells, Proximal tubule cells, Collecting duct cells, Loop of Henle cells"
"Endothelial cells, Vascular endothelial cells, Mesangial cells, Pericytes, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells, Blood vessel endothelial cells, Angiogenic cells"
"Plasma cells, B cells, Lymphocytes, Immune cells, Hematopoietic stem cells"
"Colon epithelial cells, Enterocytes, Colonocytes, Absorptive epithelial cells, Intestinal epithelial cells"
"Intestinal stem cells, Crypt stem cells, Progenitor cells, Transit amplifying cells, Stem cells"
"Absorptive colon epithelial cells, Enterocytes, Colonocytes, Intestinal epithelial cells, Epithelial cells"
"Tuft cells, Brush cells, Chemosensory cells, Neuroendocrine cells, Rare epithelial cells"
"Macrophages, Monocytes, Dendritic cells, Myeloid cells, Antigen-presenting cells"
"Enteroendocrine cells, Neuroendocrine cells, Hormone-secreting cells, Paneth cells, Secretory cells"
"Goblet cells, Mucus-secreting cells, Secretory epithelial cells, Intestinal epithelial cells, Epithelial cells"
"Mast cells, Basophils, Granulocytes, Allergy-related cells, Immune cells"
"Natural Killer cells, Cytotoxic T cells, CD8⁺ T cells, Cytotoxic lymphocytes, Natural Killer T cells"
"B cells, Plasma cells, Memory B cells, B lymphocytes, Antibody-secreting cells"
"BEST4⁺ colonocytes, Absorptive epithelial cells, Enterocytes, Colonocytes, Intestinal epithelial cells"
"Goblet cells, Mucus-secreting cells, Secretory epithelial cells, Intestinal epithelial cells, Epithelial cells"
"Fibroblasts, Stromal cells, Mesenchymal cells, Smooth muscle cells, Pericytes"
"Proliferating cells, Cycling cells, Stem cells, Transit amplifying cells, Dividing cells"
"Plasma cells, Antibody-secreting cells, B cells, Memory B cells, B lymphocytes"
"Schwann cells, Glial cells, Peripheral nerve cells, Neural crest cells, Myelinating cells"
"Epithelial cells, Enterocytes, Absorptive epithelial cells, Intestinal epithelial cells, Colonocytes"
"T cells, Natural Killer T cells, Memory T cells, Helper T cells, Regulatory T cells"
"Macrophages (Kupffer cells), Hepatic stellate cells, Monocytes, Liver macrophages, Myeloid cells"
"Erythrocytes, Red blood cells, Reticulocytes, Erythroid cells, Immature red blood cells"
"Neutrophils, Granulocytes, Polymorphonuclear leukocytes, Myeloid cells, Inflammatory cells"
"T cells, CD4⁺ T cells, CD8⁺ T cells, T lymphocytes, Helper T cells"
"Cholangiocytes, Bile duct epithelial cells, Hepatic progenitor cells, Liver epithelial cells, Ductal cells"
"Hepatocytes, Liver parenchymal cells, Metabolic cells, Bile-producing cells, Detoxifying cells"
"B cells, Plasma cells, Memory B cells, B lymphocytes, Antibody-secreting cells"
"Natural Killer cells, Cytotoxic T cells, CD8⁺ T cells, Cytotoxic lymphocytes, Natural Killer T cells"
"Dendritic cells, Antigen-presenting cells, Myeloid dendritic cells, Immune cells, Langerhans cells"
"Endothelial cells, Liver sinusoidal endothelial cells, Vascular endothelial cells, Angiogenic cells, Blood vessel cells"
"Monocytes, Macrophages, Neutrophils, Myeloid cells, Inflammatory cells"
"Macrophages, Kupffer cells, Monocytes, Antigen-presenting cells, Immune cells"
"Hepatic stellate cells, Activated stellate cells, Myofibroblasts, Smooth muscle cells, Fibrogenic cells"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Schwann cell, Myelinating glial cell, Peripheral nervous system glial cell, Oligodendrocyte precursor cell, Neuroepithelial cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Fibroblast, Mesenchymal cell, Stromal cell, Connective tissue cell, Myofibroblast"
"Lymphatic endothelial cell, Lymphatic vessel endothelial cell, Endothelial cell, Lymph node stromal cell, High endothelial venule cell"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Plasmacytoid dendritic cell, Dendritic cell, Immune cell, Antigen-presenting cell, Hematopoietic cell"
"Pericyte, Vascular smooth muscle cell, Mesenchymal stem cell, Perivascular cell, Myofibroblast"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Neural progenitor cell, Radial glial cell, Neuron, Neural stem cell, Astrocyte"
"Pericyte, Vascular smooth muscle cell, Mesenchymal stem cell, Myofibroblast, Smooth muscle cell"
"Club cell, Clara cell, Bronchiolar epithelial cell, Airway epithelial cell, Secretory epithelial cell"
"Schwann cell, Peripheral glial cell, Neural crest cell, Oligodendrocyte precursor cell, Neuroepithelial cell"
"Monocyte, Macrophage, Myeloid cell, Phagocyte, Dendritic cell"
"Macrophage, Monocyte-derived macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte"
"Alveolar epithelial type II cell, Pneumocyte type II, Pulmonary surfactant-secreting cell, Respiratory epithelial cell, Great alveolar cell"
"Mucous cell, Goblet cell, Secretory epithelial cell, Salivary gland epithelial cell, Respiratory epithelial cell"
"Mesothelial cell, Serosal cell, Visceral mesothelium cell, Parietal mesothelium cell, Epithelial cell"
"Plasma cell, B cell, Antibody-secreting cell, Lymphocyte, Immunoglobulin-producing cell"
"B cell, B lymphocyte, Naive B cell, Memory B cell, Lymphocyte"
"Alveolar epithelial type II cell, Pneumocyte type II, Pulmonary surfactant-secreting cell, Respiratory epithelial cell, Great alveolar cell"
"T cell, T lymphocyte, CD4+ T cell, Helper T cell, Thymocyte"
"CD8+ T cell, Cytotoxic T lymphocyte, T cell, T lymphocyte, Natural killer T cell"
"Natural killer cell, NK cell, Large granular lymphocyte, Innate lymphoid cell, Cytotoxic lymphocyte"
"Endothelial cell, Activated endothelial cell, Inflamed endothelial cell, Vascular endothelial cell, Venous endothelial cell"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Fibroblast, Mesenchymal cell, Stromal cell, Connective tissue cell, Myofibroblast"
"Neutrophil, Polymorphonuclear leukocyte, Granulocyte, Myeloid cell, Phagocyte"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Monocyte, Classical monocyte, Inflammatory monocyte, Myeloid cell, Phagocyte"
"Endothelial cell, Arterial endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell"
"Ciliated cell, Airway epithelial cell, Respiratory epithelial cell, Ependymal cell, Epithelial cell"
"Conventional dendritic cell, Myeloid dendritic cell, Antigen-presenting cell, Immune cell, Hematopoietic cell"
"Basal epithelial cell, Airway basal cell, Respiratory epithelial cell, Keratinocyte, Progenitor epithelial cell"
"Club cell, Clara cell, Bronchiolar epithelial cell, Airway epithelial cell, Secretory epithelial cell"
"Macrophage, Tissue-resident macrophage, Alveolar macrophage, Myeloid cell, Phagocyte"
"Macrophage, Tissue-resident macrophage, Red pulp macrophage, Myeloid cell, Phagocyte"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Plasmacytoid dendritic cell, Dendritic cell, Antigen-presenting cell, Immune cell, Hematopoietic cell"
"Fibroblast, Mesenchymal cell, Stromal cell, Connective tissue cell, Reticular cell"
"Erythrocyte, Red blood cell, Normoblast, Erythroid precursor cell, Hematopoietic cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"Cytotoxic T cell, CD8+ T cell, Cytotoxic T lymphocyte, T cell, T lymphocyte"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"Monocyte, Classical monocyte, Inflammatory monocyte, Myeloid cell, Phagocyte"
"Dendritic cell, Mature dendritic cell, Antigen-presenting cell, Myeloid dendritic cell, Immune cell"
"Macrophage, Tissue-resident macrophage, Red pulp macrophage, Myeloid cell, Phagocyte"
"Precursor T cell, Thymocyte, T cell progenitor, Immature T cell, Hematopoietic progenitor cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Macrophage, Tissue-resident macrophage, Red pulp macrophage, Myeloid cell, Phagocyte"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"Cytotoxic T cell, CD8+ T cell, Cytotoxic T lymphocyte, T cell, T lymphocyte"
"Natural killer T cell, NKT cell, Innate lymphoid cell, T cell, T lymphocyte"
"T helper cell, CD4+ T cell, T lymphocyte, Naive T cell, Thymocyte"
"T cell, Naive T cell, CD4+ T cell, B cell, Lymphocyte"
"T helper cell, CD4+ T cell, Naive T cell, T lymphocyte, Thymocyte"
"Plasma cell, Antibody-secreting cell, B cell, Immunoglobulin-producing cell, Lymphocyte"
"Neutrophil, Polymorphonuclear leukocyte, Granulocyte, Myeloid cell, Phagocyte"
"Monocyte, Classical monocyte, Inflammatory monocyte, Myeloid cell, Phagocyte"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"Macrophage, Tissue-resident macrophage, Red pulp macrophage, Myeloid cell, Phagocyte"
"Regulatory T cell, Treg cell, CD4+ T cell, T lymphocyte, Immunosuppressive T cell"
"Basal epithelial cell, Keratinocyte, Progenitor epithelial cell, Myoepithelial cell, Mammary epithelial cell"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"Lymphatic endothelial cell, Lymphatic vessel endothelial cell, Endothelial cell, Lymph node stromal cell, High endothelial venule cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Plasma cell, Antibody-secreting cell, B cell, Immunoglobulin-producing cell, Lymphocyte"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Pericyte, Vascular smooth muscle cell, Mesenchymal stem cell, Myofibroblast, Smooth muscle cell"
"Cardiac muscle cell, Cardiomyocyte, Heart muscle cell, Striated muscle cell, Myocyte"
"Macrophage, Tissue-resident macrophage, Mammary gland macrophage, Myeloid cell, Phagocyte"
"Luminal epithelial cell, Mammary epithelial cell, Secretory epithelial cell, Ductal epithelial cell, Alveolar epithelial cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"Fibroblast, Stromal cell, Mesenchymal cell, Connective tissue cell, Myofibroblast"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"Mesothelial cell, Serosal cell, Visceral mesothelium cell, Parietal mesothelium cell, Epithelial cell"
"Erythrocyte, Red blood cell, Normoblast, Erythroid precursor cell, Hematopoietic cell"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Skeletal muscle cell, Myofiber, Striated muscle cell, Myocyte, Satellite cell"
"Skeletal muscle cell, Myofiber, Striated muscle cell, Myocyte, Satellite cell"
"Tenocyte, Tendon cell, Fibroblast, Mesenchymal cell, Connective tissue cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"Myoblast, Muscle progenitor cell, Satellite cell, Skeletal muscle cell, Myocyte"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Endothelial cell, Arterial endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell"
"Fibroblast, Stromal cell, Mesenchymal cell, Connective tissue cell, Myofibroblast"
"Lymphatic endothelial cell, Lymphatic vessel endothelial cell, Endothelial cell, Lymph node stromal cell, High endothelial venule cell"
"Endothelial cell, Vascular endothelial cell, Capillary endothelial cell, Venous endothelial cell, Arterial endothelial cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Neuroendocrine cell, Enterochromaffin-like cell, Enteroendocrine cell, Islet cell, Neuron-like cell"
"Beta cell, Pancreatic beta cell, Islet cell, Endocrine pancreas cell, Insulin-producing cell"
"PP cell, Pancreatic polypeptide cell, Islet cell, Endocrine pancreas cell, Gamma cell"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Beta cell, Pancreatic beta cell, Islet cell, Endocrine pancreas cell, Insulin-producing cell"
"Plasma cell, Antibody-secreting cell, B cell, Immunoglobulin-producing cell, Lymphocyte"
"Ductal epithelial cell, Pancreatic duct cell, Epithelial cell, Cuboidal epithelial cell, Exocrine pancreas cell"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"Fibroblast, Stromal cell, Mesenchymal cell, Connective tissue cell, Pancreatic stellate cell"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"Pericyte, Vascular smooth muscle cell, Mesenchymal stem cell, Myofibroblast, Smooth muscle cell"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"T cell, Naive T cell, CD4+ T cell, CD8+ T cell, T lymphocyte"
"Acinar cell, Pancreatic acinar cell, Exocrine pancreas cell, Secretory epithelial cell, Digestive enzyme-producing cell"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"T cell, CD8+ T cell, Cytotoxic T lymphocyte, T lymphocyte, Thymocyte"
"Luminal epithelial cell, Secretory epithelial cell, Prostate epithelial cell, Glandular epithelial cell, Columnar epithelial cell"
"Neutrophil, Polymorphonuclear leukocyte, Granulocyte, Myeloid cell, Phagocyte"
"Luminal epithelial cell, Prostate epithelial cell, Secretory epithelial cell, Glandular epithelial cell, Columnar epithelial cell"
"Basal epithelial cell, Prostate basal cell, Keratinocyte, Progenitor epithelial cell, Epithelial stem cell"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"Mast cell, Granulocyte, Myeloid cell, Immune cell, Hematopoietic cell"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Luminal epithelial cell, Secretory epithelial cell, Prostate epithelial cell, Glandular epithelial cell, Columnar epithelial cell"
"Secretory epithelial cell, Prostate epithelial cell, Luminal epithelial cell, Glandular epithelial cell, Columnar epithelial cell"
"Natural killer cell, NK cell, Innate lymphoid cell, Large granular lymphocyte, Cytotoxic lymphocyte"
"T cell, Naive T cell, CD4+ T cell, CD8+ T cell, T lymphocyte"
"Erythrocyte, Red blood cell, Normoblast, Erythroid precursor cell, Hematopoietic cell"
"Cytotoxic T cell, CD8+ T cell, Cytotoxic T lymphocyte, T cell, T lymphocyte"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"Fibroblast, Stromal cell, Mesenchymal cell, Connective tissue cell, Myofibroblast"
"Luminal epithelial cell, Prostate epithelial cell, Secretory epithelial cell, Glandular epithelial cell, Columnar epithelial cell"
"Basal epithelial cell, Prostate basal cell, Keratinocyte, Progenitor epithelial cell, Epithelial stem cell"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Mucous cell, Goblet cell, Secretory epithelial cell, Salivary gland epithelial cell, Respiratory epithelial cell"
"Basal epithelial cell, Keratinocyte, Progenitor epithelial cell, Myoepithelial cell, Salivary gland basal cell"
"T cell, Naive T cell, CD4+ T cell, CD8+ T cell, T lymphocyte"
"Neutrophil, Polymorphonuclear leukocyte, Granulocyte, Myeloid cell, Phagocyte"
"Serous acinar cell, Salivary gland epithelial cell, Secretory epithelial cell, Exocrine cell, Acinar cell"
"T cell, Naive T cell, CD4+ T cell, CD8+ T cell, T lymphocyte"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"Proliferating cell, Dividing cell, Mitotic cell, Cycling cell, Cell in S phase"
"Plasma cell, Antibody-secreting cell, B cell, Immunoglobulin-producing cell, Lymphocyte"
"Myoepithelial cell, Smooth muscle-like cell, Contractile epithelial cell, Basal epithelial cell, Salivary gland myoepithelial cell"
"Macrophage, Tissue-resident macrophage, Myeloid cell, Phagocyte, Antigen-presenting cell"
"T cell, Naive T cell, CD4+ T cell, CD8+ T cell, T lymphocyte"
"Proliferating cell, Dividing cell, Mitotic cell, Cycling cell, Cell in S phase"
"Serous acinar cell, Salivary gland epithelial cell, Secretory epithelial cell, Exocrine cell, Acinar cell"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"B cell, Naive B cell, B lymphocyte, Transitional B cell, Hematopoietic cell"
"T cell, Naive T cell, CD4+ T cell, Thymocyte, T lymphocyte"
"Smooth muscle cell, Vascular smooth muscle cell, Visceral muscle cell, Myocyte, Pericyte"
"Endothelial cell, Vascular endothelial cell, Blood vessel endothelial cell, Capillary endothelial cell, Venous endothelial cell"
"Natural Killer (NK) cells, CD8+ Cytotoxic T cells, Cytotoxic lymphocytes, NKT cells, Effector T cells"
"Fibroblasts, Mesenchymal cells, Stromal cells, Myofibroblasts, Smooth muscle cells"
