"[['smooth muscle cell'], ['pericyte'], ['myofibroblast']]"
"[['dendritic cell'], ['antigen-presenting cell'], ['b cell']]"
"[['thymic epithelial cell'], ['lymphoid progenitor'], ['stromal cell']]"
"[['placental trophoblast'], ['syncytiotrophoblast'], ['extravillous trophoblast']]"
"[['lens epithelial cell'], ['ocular cell'], ['eye development cell']]"
"[['cerebellar neuron'], ['granule cell'], ['brain stem cell']]"
"[['myeloid cell'], ['neutrophil'], ['epithelial cell']]"
"[['enteroendocrine cell'], ['neuroendocrine cell'], ['serotonin-producing cell']]"
"[['retinal cell'], ['photoreceptor progenitor'], ['visual system neuron']]"
"[['hepatocyte'], ['lymphatic endothelial cell'], ['hepatic progenitor']]"
"[['gastric parietal cell'], ['stomach epithelial cell'], ['acid-secreting cell']]"
"[['mesothelial cell'], ['peritoneal cell'], ['serosal cell']]"
"[['ciliated cell'], ['respiratory epithelial cell'], ['motile cilia cell']]"
"[['enteric neuron'], ['neuroendocrine cell'], ['autonomic neuron']]"
"[['neuron'], ['autonomic ganglion'], ['peripheral nervous system cell']]"
"[['placental cell'], ['trophoblast'], ['endothelial cell']]"
"[['epithelial cell'], ['keratinocyte'], ['stratified epithelium']]"
"[['hematopoietic stem cell'], ['t-cell progenitor'], ['lymphoid cell']]"
"[['schwann cell'], ['neural crest cell'], ['glial cell']]"
"[['photoreceptor cell'], ['retinal neuron'], ['visual system cell']]"
"[['hepatocyte'], ['fetal liver cell'], ['erythroblast']]"
"[['megakaryocyte'], ['platelet'], ['hematopoietic progenitor']]"
"[['neuron'], ['synaptic cell'], ['cortical neuron']]"
"[['fibroblast'], ['osteoblast'], ['connective tissue cell']]"
"[['steroidogenic cell'], ['adrenal cell'], ['gonadal cell']]"
"[['macrophage'], ['microglia-like cell'], ['monocyte']]"
"[['lung epithelial cell'], ['alveolar cell'], ['pulmonary progenitor']]"
"[['endothelial cell'], ['vascular cell'], ['blood vessel progenitor']]"
"[['muscle satellite cell'], ['myoblast'], ['skeletal muscle progenitor']]"
"[['astrocyte'], ['neural progenitor cell'], ['oligodendrocyte precursor cell']]"
"[['neuroendocrine cell'], ['chromaffin cell'], ['enteric neuron']]"
"[['renal progenitor cell'], ['urothelial cell'], ['collecting duct cell']]"
"[['lymphatic endothelial cell'], ['liver sinusoidal endothelial cell'], ['fibroblast']]"
"[['neurons (gabaergic)'], ['oligodendrocyte precursor cell'], ['cortical neuron']]"
"[['osteoblast'], ['macrophage'], ['endothelial cell']]"
"[['fibroblast'], ['mesothelial cell'], ['stromal cell']]"
"[['skeletal muscle cell'], ['myocyte'], ['muscle progenitor']]"
"[['schwann cell'], ['neural crest cell'], ['oligodendrocyte']]"
"[['neurons (excitatory)'], ['cortical neuron'], ['gabaergic neuron']]"
"[['t cell'], ['b cell'], ['monocyte']]"
"[['retinal neuron'], ['cortical neuron'], ['photoreceptor cell']]"
"[['fibroblast'], ['mesenchymal stem cell'], ['smooth muscle cell']]"
"[['neurons (cerebellar)'], ['oligodendrocyte'], ['astrocyte']]"
"[['neuroendocrine cell'], ['chromaffin cell'], ['adrenal medullary cell']]"
"[['cortical neuron'], ['cerebellar neuron'], ['gabaergic neuron']]"
"[['erythroid progenitor'], ['red blood cell'], ['megakaryocyte']]"
"[['mast cell'], ['eosinophil'], ['myeloid progenitor']]"
"[['adipocyte'], ['fibroblast'], ['smooth muscle cell']]"
"[['mast cell'], ['basophil'], ['myeloid cell']]"
"[['lymphatic endothelial cell'], ['valvular endothelial cell'], ['fibroblast']]"
"[['macrophage'], ['dendritic cell'], ['fibroblast']]"
"[['fibroblast'], ['chondrocyte'], ['endothelial cell']]"
"[['t cell (memory)'], ['thymocyte'], ['nk cell']]"
"[['neurons (adrenergic)'], ['schwann cell'], ['neural crest cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['pericyte'], ['smooth muscle cell'], ['fibroblast']]"
"[['smooth muscle cell'], ['myofibroblast'], ['vascular smooth muscle']]"
"[['endothelial cell (arterial)'], ['thyroid follicular cell'], ['epithelial cell']]"
"[['cardiomyocytes (ventricular)'], ['atrial cardiomyocyte'], ['pacemaker cell']]"
"[['fibroblast'], ['mesenchymal cell'], ['endothelial cell']]"
"[['macrophage'], ['monocyte'], ['dendritic cell']]"
"[['endothelial cell'], ['adipocyte'], ['fibroblast']]"
"[['endothelial cell'], ['pericyte'], ['fibroblast']]"
"[['endothelial cell (arterial)'], ['vascular progenitor'], ['smooth muscle cell']]"
"[['adipocyte'], ['hepatocyte'], ['endothelial cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['cardiomyocytes (atrial)'], ['pacemaker cell'], ['ventricular cardiomyocyte']]"
"[['kidney tubular epithelial cell'], ['urothelial cell'], ['collecting duct cell']]"
"[['renal progenitor'], ['loop of henle cells'], ['podocyte']]"
"[['renal tubular cell'], ['collecting duct cell'], ['urothelial cell']]"
"[['endothelial cell'], ['fibroblast'], ['podocyte']]"
"[['endothelial cell'], ['mesangial cell'], ['pericyte']]"
"[['renal progenitor'], ['podocyte'], ['collecting duct cell']]"
"[['proximal tubule cell'], ['loop of henle cells'], ['podocyte']]"
"[['schwann cell'], ['neural crest cell'], ['neuron']]"
"[['loop of henle cells'], ['distal tubule cell'], ['collecting duct cell']]"
"[['smooth muscle cell'], ['pericyte'], ['myofibroblast']]"
"[['fibroblast'], ['mesangial cell'], ['endothelial cell']]"
"[['macrophage'], ['dendritic cell'], ['monocyte']]"
"[['distal tubule cell'], ['collecting duct cell'], ['intercalated cell']]"
"[['podocyte'], ['mesangial cell'], ['renal progenitor']]"
"[['renal tubular cell'], ['collecting duct cell'], ['urothelial cell']]"
"[['collecting duct cell'], ['loop of henle cells'], ['intercalated cell']]"
"[['liver sinusoidal endothelial cell'], ['kupffer cell'], ['lymphatic endothelial cell']]"
"[['hepatocytes (proliferating)'], ['hepatoblast'], ['cycling cell']]"
"[['hepatic stellate cell'], ['fibroblast'], ['smooth muscle cell']]"
"[['plasma cell'], ['b cell'], ['memory b cell']]"
"[['plasmacytoid dendritic cell'], ['nk cell'], ['monocyte']]"
"[['kupffer cell'], ['macrophage'], ['dendritic cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['hepatocyte'], ['cholangiocyte'], ['hepatoblast']]"
"[['hepatic stellate cell'], ['myofibroblast'], ['smooth muscle cell']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['mast cell'], ['basophil'], ['myeloid progenitor']]"
"[['kupffer cell'], ['macrophage'], ['dendritic cell']]"
"[['fibroblast'], ['hepatic stellate cell'], ['mesenchymal cell']]"
"[['dendritic cell'], ['macrophage'], ['b cell']]"
"[['dendritic cell'], ['monocyte'], ['b cell']]"
"[['erythroid cell'], ['red blood cell'], ['megakaryocyte']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['sinusoidal cell']]"
"[['cholangiocyte'], ['hepatocyte'], ['ductal cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['fibroblast']]"
"[['cytotoxic t cell'], ['cd8+ t cell'], ['nk cell']]"
"[['t cell (memory)'], ['naive t cell'], ['γδ t cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['alveolar epithelial cell']]"
"[['t cell (memory)'], ['cytotoxic t cell'], ['nk cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['fibroblast']]"
"[['alveolar type ii cell'], ['club cell'], ['epithelial cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['macrophage'], ['dendritic cell'], ['monocyte']]"
"[['ciliated cell'], ['epithelial cell'], ['secretory cell']]"
"[['plasma cell'], ['b cell'], ['memory b cell']]"
"[['club cell'], ['goblet cell'], ['ciliated cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['alveolar epithelial cell']]"
"[['goblet cell'], ['secretory cell'], ['club cell']]"
"[['alveolar type i cell'], ['fibroblast'], ['endothelial cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['fibroblast']]"
"[['endothelial cell'], ['fibroblast'], ['smooth muscle cell']]"
"[['dendritic cell'], ['macrophage'], ['monocyte']]"
"[['endothelial cell'], ['fibroblast'], ['epithelial cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['pericyte']]"
"[['mast cell'], ['basophil'], ['myeloid progenitor']]"
"[['fibroblast'], ['myofibroblast'], ['smooth muscle cell']]"
"[['neutrophil'], ['myeloid cell'], ['granulocyte']]"
"[['fibroblast'], ['mesenchymal cell'], ['smooth muscle cell']]"
"[['neuroendocrine cell'], ['enteroendocrine cell'], ['neuron']]"
"[['ionocyte'], ['ciliated cell'], ['secretory cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['vascular smooth muscle cell']]"
"[['macrophage'], ['monocyte'], ['dendritic cell']]"
"[['mast cell'], ['basophil'], ['progenitor cell']]"
"[['type ii pneumocyte'], ['alveolar epithelial cell'], ['secretory cell']]"
"[['plasma cell'], ['plasmablast'], ['b cell']]"
"[['nk cell'], ['cd8+ t cell'], ['cytotoxic t cell']]"
"[['lymphatic endothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['fibroblast'], ['myofibroblast'], ['smooth muscle cell']]"
"[['dendritic cell'], ['macrophage'], ['monocyte']]"
"[['ciliated cell'], ['club cell'], ['airway epithelial cell']]"
"[['t cell'], ['cd4+ t cell'], ['naive t cell']]"
"[['neutrophil'], ['monocyte'], ['myeloid cell']]"
"[['basal cell'], ['squamous epithelial cell'], ['keratinocyte']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['type i pneumocyte'], ['alveolar epithelial cell'], ['secretory cell']]"
"[['cd8+ t cell'], ['cytotoxic t cell'], ['effector t cell']]"
"[['club cell'], ['type ii pneumocyte'], ['secretory cell']]"
"[['macrophage'], ['alveolar macrophage'], ['dendritic cell']]"
"[['plasmacytoid dendritic cell'], ['dendritic cell'], ['monocyte']]"
"[['fibroblast'], ['myofibroblast'], ['smooth muscle cell']]"
"[['glandular epithelial cell'], ['goblet cell'], ['secretory cell']]"
"[['fibroblast'], ['myofibroblast'], ['tendon cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['γδ t cell']]"
"[['platelet'], ['megakaryocyte'], ['megakaryocyte progenitor']]"
"[['goblet cell'], ['m cell'], ['secretory cell']]"
"[['mesothelial cell'], ['fibroblast'], ['stromal cell']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['endothelial cell'], ['vascular smooth muscle cell'], ['fibroblast']]"
"[['acinar cell'], ['salivary gland cell'], ['secretory cell']]"
"[['smooth muscle cell'], ['myofibroblast'], ['fibroblast']]"
"[['pericyte'], ['fibroblast'], ['smooth muscle cell']]"
"[['endothelial cell'], ['megakaryocyte'], ['platelet']]"
"[['club cell'], ['goblet cell'], ['secretory cell']]"
"[['endothelial cell'], ['lymphatic endothelial cell'], ['fibroblast']]"
"[['cycling cell'], ['progenitor cell'], ['stem cell']]"
"[['cycling cell'], ['progenitor cell'], ['stem cell']]"
"[['endothelial cell'], ['arterial endothelial cell'], ['smooth muscle cell']]"
"[['astrocyte'], ['glial cell'], ['oligodendrocyte']]"
"[['endothelial cell'], ['oligodendrocyte'], ['neuron']]"
"[['glutamatergic neuron'], ['cerebellar neuron'], ['excitatory neuron']]"
"[['fibroblast'], ['meningeal cell'], ['stromal cell']]"
"[['excitatory neuron'], ['cortical layer 4 neuron'], ['glutamatergic neuron']]"
"[['inhibitory neuron'], ['gabaergic neuron'], ['interneuron']]"
"[['fibroblast'], ['meningeal cell'], ['stromal cell']]"
"[['vip+ interneuron'], ['gabaergic neuron'], ['interneuron']]"
"[['oligodendrocyte precursor cell'], ['oligodendrocyte'], ['glial cell']]"
"[['inhibitory neuron'], ['sst+ interneuron'], ['gabaergic neuron']]"
"[['neuron'], ['cannabinoid receptor-expressing cell'], ['glutamatergic neuron']]"
"[['parvalbumin+ interneuron'], ['gabaergic neuron'], ['inhibitory neuron']]"
"[['oligodendrocyte'], ['myelinating cell'], ['glial cell']]"
"[['microglia'], ['immune cell'], ['mononuclear phagocyte']]"
"[['cajal-retzius cell'], ['neuron'], ['glutamatergic neuron']]"
"[['excitatory neuron'], ['cortical neuron'], ['glutamatergic neuron']]"
"[['npy+ interneuron'], ['inhibitory neuron'], ['gabaergic neuron']]"
"[['neuron'], ['glutamatergic neuron'], ['excitatory neuron']]"
"[['neuron'], ['axon guidance-related cell'], ['glutamatergic neuron']]"
"[['neuron'], ['adhesion molecule-expressing cell'], ['glutamatergic neuron']]"
"[['activated t cell'], ['nk cell'], ['cycling cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['naive b cell'], ['immature b cell'], ['b cell']]"
"[['plasma cell'], ['marginal zone b cell'], ['memory b cell']]"
"[['cytotoxic t cell'], ['nk cell'], ['effector t cell']]"
"[['naive t cell'], ['central memory t cell'], ['cd4+ t cell']]"
"[['cycling t cell'], ['proliferating cell'], ['activated lymphocyte']]"
"[['memory t cell'], ['cd4+ t cell'], ['effector t cell']]"
"[['regulatory t cell'], ['treg'], ['suppressive t cell']]"
"[['cd8+ t cell'], ['naive t cell'], ['effector t cell']]"
"[['activated cd8+ t cell'], ['cycling t cell'], ['cytotoxic t cell']]"
"[['cd8+ t cell'], ['effector t cell'], ['memory t cell']]"
"[['effector cd8+ t cell'], ['cytotoxic t cell'], ['nk cell']]"
"[['plasmacytoid dendritic cell'], ['dendritic cell'], ['immune regulatory cell']]"
"[['conventional dendritic cell'], ['cdc1'], ['antigen-presenting cell']]"
"[['myeloid dendritic cell'], ['cdc2'], ['antigen-presenting cell']]"
"[['plasmacytoid dendritic cell'], ['dendritic cell'], ['immune regulatory cell']]"
"[['monocyte'], ['neutrophil'], ['myeloid cell']]"
"[['mait cell'], ['mucosal-associated invariant t cell'], ['innate-like t cell']]"
"[['γδ t cell'], ['innate-like t cell'], ['cytotoxic lymphocyte']]"
"[['cytotoxic t cell'], ['nk cell'], ['effector lymphocyte']]"
"[['platelet'], ['megakaryocyte'], ['megakaryocyte progenitor']]"
"[['mast cell'], ['basophil'], ['progenitor cell']]"
"[['non-classical monocyte'], ['monocyte'], ['myeloid cell']]"
"[['hematopoietic stem cell'], ['progenitor cell'], ['immature myeloid cell']]"
"[['erythrocyte'], ['red blood cell'], ['erythroid progenitor']]"
"[['nk cell'], ['activated lymphocyte'], ['cytotoxic cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['effector lymphocyte']]"
"[['cd4+ t cell'], ['naive t cell'], ['memory t cell']]"
"[['b cell'], ['plasma cell'], ['memory b cell']]"
"[['pericyte'], ['stellate cell'], ['adipocyte']]"
"[['macrophage'], ['dendritic cell'], ['monocyte']]"
"[['acinar cell'], ['pancreatic enzyme-secreting cell'], ['exocrine cell']]"
"[['beta cell'], ['insulin-producing cell'], ['endocrine cell']]"
"[['alpha cell'], ['glucagon-producing cell'], ['endocrine cell']]"
"[['delta cell'], ['somatostatin-producing cell'], ['endocrine cell']]"
"[['ductal cell'], ['epithelial cell'], ['secretory cell']]"
"[['ductal cell'], ['hepatocytes (if liver)'], ['exocrine cell']]"
"[['fibroblast'], ['myofibroblast'], ['stromal cell']]"
"[['schwann cell'], ['neural cell'], ['glial cell']]"
"[['endothelial cell'], ['vascular endothelial cell'], ['lymphatic endothelial cell']]"
"[['pp cell'], ['pancreatic polypeptide-producing cell'], ['endocrine cell']]"
"[['dendritic cell'], ['cdc1'], ['antigen-presenting cell']]"
"[['activated b cell'], ['dendritic cell'], ['germinal center b cell']]"
"[['t follicular helper cell'], ['cd4+ t cell'], ['t regulatory cell']]"
"[['cd8+ t cell'], ['nk cell'], ['gamma delta t cell']]"
"[['cycling b cell'], ['cycling t cell'], ['proliferating cell']]"
"[['macrophage'], ['dendritic cell'], ['stromal cell']]"
"[['macrophage'], ['monocyte'], ['proliferating myeloid cell']]"
"[['t follicular helper cell'], ['t regulatory cell'], ['cd4+ t cell']]"
"[['cd8+ t cell'], ['nk cell'], ['t regulatory cell']]"
"[['neutrophil'], ['mast cell'], ['monocyte']]"
"[['endothelial cell'], ['fibroblast'], ['macrophage']]"
"[['plasma cell'], ['germinal center b cell'], ['memory b cell']]"
"[['epithelial cell'], ['th17 cell'], ['ilc3']]"
"[['mast cell'], ['basophil'], ['th2 cell']]"
"[['memory b cell'], ['marginal zone b cell'], ['activated b cell']]"
"[['macrophages (m2)'], ['dendritic cell'], ['stromal cell']]"
"[['naive b cell'], ['mature b cell'], ['follicular b cell']]"
"[['epithelial cell'], ['proliferating cell'], ['stromal cell']]"
"[['cd8+ t cell'], ['central memory t cell'], ['cytotoxic t cell']]"
"[['plasma cell'], ['memory b cell'], ['germinal center b cell']]"
"[['fibroblast'], ['smooth muscle cell'], ['stromal cell']]"
"[['immature b cell'], ['pro-b cell'], ['pre-b cell']]"
"[['epithelial cell'], ['keratinocyte'], ['squamous epithelial cell']]"
"[['nk cell'], ['cytotoxic t cell'], ['ilc1']]"
