Smooth Muscle Cells, Myofibroblasts, Pericytes
Neuron, Synaptic Cell, Glial Cell
Erythrocyte, Red Blood Cell, Erythroid Progenitor
Cardiomyocyte, Fibroblast, Endothelial Cell
Fibroblast, Endothelial Cell, Adipocyte
Mast Cell, Cardiomyocyte, Fibroblast
Endothelial Cell, Neuron, Lymphatic Endothelial Cell
Macrophage, Dendritic Cell, Monocyte
Fibroblast, Epithelial Cell, Immune Cell
T Cell, Helper T Cell, Regulatory T Cell
Neuron, Synaptic Cell, Glial Cell
Cytotoxic T Cell, NK Cell, T Cell
Smooth Muscle Cell, Fibroblast, Pericyte
Smooth Muscle Cell, Myofibroblast, Fibroblast
Endothelial Cell, Pericyte, Smooth Muscle Cell
Cardiomyocyte, Cardiac Myocyte, Muscle Cell
Endothelial Cell, Fibroblast, Smooth Muscle Cell
Macrophage, Monocyte, Dendritic Cell
Fibroblast, Adipocyte, Epithelial Cell
Neuron, Smooth Muscle Cell, Fibroblast
Endothelial Cell, Smooth Muscle Cell, Fibroblast
Adipocyte, Hepatocyte, Hepatic Cell
B Cell, Plasma Cell, B Lymphocyte
Cardiomyocyte, Cardiac Myocyte, Muscle Cell
Renal Epithelial Cell, Tubular Cell, Proximal Tubule Cell
Renal Cell, Epithelial Cell, Nephron Cell
Renal Epithelial Cell, Tubular Cell, Podocyte
Renal Cell, Fibroblast, Epithelial Cell
Endothelial Cell, Fibroblast, Mesangial Cell
Renal Progenitor Cell, Epithelial Cell, Fibroblast
Renal Tubular Cell, Epithelial Cell, Transporter Cell
Epithelial Cell, Neuron-like Cell, Synaptic Cell
Renal Epithelial Cell, Proximal Tubule Cell, Transporter Cell
Fibroblast, Smooth Muscle Cell, Pericyte
Fibroblast, Smooth Muscle Cell, Endothelial Cell
B Cell, Monocyte, Macrophage
Renal Tubular Cell, Epithelial Cell, Transporter Cell
Podocyte, Renal Epithelial Cell, Epithelial Cell
Epithelial Cell, Renal Progenitor Cell, Podocyte
Renal Epithelial Cell, Tubular Cell, Kidney Cell
Kupffer Cell, Hepatocyte, Liver Sinusoidal Endothelial Cell
Hepatocyte, Proliferating Cell, Liver Progenitor Cell
Hepatic Stellate Cell, Fibroblast, Epithelial Cell
Plasma Cell, B Cell, B Lymphocyte
Natural Killer (NK) Cell, Fibroblast, Adipocyte
Macrophage, Monocyte, Dendritic Cell
Cytotoxic T Cell, T Cell, NK Cell
Hepatocyte, Hepatic Cell, Metabolic Cell
Smooth Muscle Cell, Fibroblast, Pericyte
Monocyte, Macrophage, Dendritic Cell
Mast Cell, Fibroblast, Epithelial Cell
Macrophage, Monocyte, Dendritic Cell
Fibroblast, Hepatic Stellate Cell, Endothelial Cell
Antigen-Presenting Cell, Dendritic Cell, Macrophage
Antigen-Presenting Cell, Dendritic Cell, Mast Cell
Erythrocyte, Red Blood Cell, Erythroid Progenitor
Cytotoxic T Cell, NK Cell, T Cell
Endothelial Cell, Fibroblast, Pericyte
Epithelial Cell, Renal Cell, Hepatic Cell
Fibroblast, Hepatic Stellate Cell, Endothelial Cell
Cytotoxic T Cell, CD8+ T Cell, T Cell
Helper T Cell, Regulatory T Cell, T Cell
B Cell, Plasma Cell, B Lymphocyte
[Please provide marker list for processing]
T cells, Natural Killer cells, Gamma delta T cells
Endothelial cells, Smooth muscle cells, Pericytes
Alveolar type II cells, Club cells, Epithelial cells
Cytotoxic T cells, Natural Killer cells, Gamma delta T cells
Macrophages, Monocytes, Dendritic cells
Epithelial cells, Fibroblasts, Stem cells
B cells, Plasma cells, Memory B cells
Epithelial cells, Club cells, Alveolar type I cells
Endothelial cells, Smooth muscle cells, Pericytes
Secretory epithelial cells, Plasma cells, Mucosal cells
Alveolar type I cells, Alveolar type II cells, Epithelial cells
Endothelial cells, T cells, Pericytes
Endothelial cells, Goblet cells, T cells
Monocytes, Dendritic cells, B cells
Epithelial cells, Fibroblasts, Proliferating cells
Smooth muscle cells, Myofibroblasts, Pericytes
Mast cells, Basophils, Eosinophils
Fibroblasts, Myofibroblasts, Smooth muscle cells
Monocytes, Macrophages, Neutrophils
Fibroblasts, Myofibroblasts, Pericytes
Neuroendocrine cells, Pancreatic cells, Secretory cells
Goblet cells, Ion transporting epithelial cells, Intercalated cells
Endothelial cells, Fibroblasts, Monocytes
Monocytes, Macrophages, Dendritic cells
Mast cells, Basophils, Eosinophils
Alveolar type II cells, Epithelial cells, Club cells
Plasma cells, B cells, Memory B cells
CD8+ T cells, Natural Killer cells, Cytotoxic T lymphocytes
Endothelial cells, Goblet cells, T cells
Fibroblasts, Macrophages, Complement components
Dendritic cells, B cells, Monocytes
Ciliated epithelial cells, Respiratory epithelial cells, Epithelial cells
T cells, Helper T cells, Cytotoxic T cells
Neutrophils, Monocytes, Macrophages
Basal epithelial cells, Keratinocytes, Stem cells
B cells, Plasma cells, Memory B cells
Epithelial cells, Alveolar cells, Club cells
Cytotoxic T cells, Natural Killer cells, CD8+ T cells
Club cells, Alveolar type II cells, Epithelial cells
Macrophages, Monocytes, Dendritic cells
Cytotoxic T cells, B cells, Macrophages
Fibroblasts, Myofibroblasts, Smooth muscle cells
Epithelial cells, Secretory cells, Glandular cells
Smooth muscle cells, Fibroblasts, Pericytes
T cells, Natural Killer cells, Cytotoxic T cells
Platelets, Megakaryocytes, Platelet progenitors
Podocytes, Mesothelial cells, Synovial cells
Podocytes, Fibroblasts, Mesothelial cells
Endothelial cells, Fibroblasts, Smooth muscle cells
Endothelial cells, Fibroblasts, Pericytes
Paneth cells, Neutrophils, Monocytes
Smooth muscle cells, Myofibroblasts, Pericytes
Pericytes, Endothelial cells, Smooth muscle cells
Endothelial cells, Platelets, Monocytes
Club cells, Goblet cells, Epithelial cells
Endothelial cells, Fibroblasts, Pericytes
Cycling cells, Progenitor cells, Fibroblasts
Proliferating cells, Epithelial progenitor cells, Fibroblasts
Endothelial cells, Fibroblasts, Smooth muscle cells
Astrocytes, Neurons, Oligodendrocytes
Endothelial cells, B cells, Dendritic cells
Neurons, Oligodendrocytes, Microglia
Neurons, Oligodendrocytes, Astrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Astrocytes, Oligodendrocytes
Fibroblasts, B cells, Endothelial cells
Neurons, Astrocytes, Oligodendrocytes
Oligodendrocytes, Oligodendrocyte precursor cells, Astrocytes
Neurons, Inhibitory interneurons, Astrocytes
Neurons, Astrocytes, Oligodendrocytes
GABAergic interneurons, Pyramidal neurons, Astrocytes
Oligodendrocytes, Myelinating oligodendrocytes, Neural progenitor cells
Microglia, Macrophages, Dendritic cells
Neurons, Interneurons, Astrocytes
Neurons, Astrocytes, Oligodendrocytes
Neurons, Interneurons, Astrocytes
Neurons, Dopaminergic neurons, Astrocytes
Neurons, Astrocytes, Oligodendrocytes
T cells, Neurons, Astrocytes
Natural Killer cells, T cells, Proliferating lymphocytes
B cells, Plasma cells, Memory B cells
B cells, Memory B cells, Plasma cells
Plasma cells, B cells, Memory B cells
Helper T cells, Cytotoxic T cells, Natural Killer cells
Naïve T cells, Helper T cells, Central memory T cells
Proliferating lymphocytes, Activated T cells, Cycling cells
Cytotoxic T cells, Helper T cells, Natural Killer cells
Regulatory T cells, Helper T cells, Memory T cells
Cytotoxic T cells, Memory T cells, Natural Killer cells
Proliferating cytotoxic T cells, Activated T cells, Natural Killer cells
Cytotoxic T cells, Natural Killer cells, Epithelial contaminant cells
Cytotoxic T cells, Gamma delta T cells, Natural Killer cells
Plasmacytoid dendritic cells, Monocytes, Mast cells
Dendritic cells, Plasmacytoid dendritic cells, cDC1
Dendritic cells, cDC2, Basophils
Plasmacytoid dendritic cells, B cells, Mast cells
Monocytes, Macrophages, Neutrophils
Natural Killer cells, Cytotoxic T cells, NKT cells
Gamma delta T cells, Natural Killer cells, Cytotoxic T cells
Cytotoxic T cells, Natural Killer cells, Endothelial cells
Platelets, Megakaryocytes, Platelet progenitors
Gamma delta T cells, Mast cells, Cytotoxic T cells
Macrophages, Natural Killer cells, Monocytes
Hematopoietic stem cells, B cells, Progenitor cells
Erythrocytes, Erythroid progenitors, Red blood cells
Natural Killer cells, T cells, Mast cells
Natural Killer cells, Cytotoxic T cells, Macrophages
Helper T cells, T cells, Memory T cells
B cells, Memory B cells, Plasma cells
Endothelial cells, Adipocytes, Macrophages
Macrophages, Monocytes, Dendritic cells
Pancreatic acinar cells, Exocrine cells, Enzymatic secreting cells
Pancreatic beta cells, Insulin-secreting cells, Beta islet cells
Pancreatic alpha cells, Glucagon-secreting cells, Islet cells
Pancreatic delta cells, Somatostatin-secreting cells, Islet cells
Pancreatic ductal cells, Epithelial cells, Macrophages
Pancreatic epsilon cells, Epsilon islet cells, Ependymal cells
Fibroblasts, Myofibroblasts, Pericytes
Oligodendrocytes, Neural crest cells, Schwann cells
Endothelial cells, Fibroblasts, Pericytes
Pancreatic PP cells, Neuroendocrine cells, Epithelial cells
Dendritic cells, Macrophages, B cells
B cells, Dendritic cells, Follicular B cells
T follicular helper cells, Regulatory T cells, CD4+ T cells
Gamma delta T cells, Cytotoxic T cells, NK T cells
Germinal center B cells, Proliferating T cells, Cycling cells
Macrophages, Dendritic cells, Stromal cells
Macrophages, Monocytes, Dendritic cells
T follicular helper cells, Regulatory T cells, T helper cells
T cells, B cells, Macrophages
Neutrophils, Mast cells, Monocytes
Stromal cells, Macrophages, Epithelial cells
Memory B cells, B cells, Dendritic cells
Th17 cells, NK cells, Epithelial cells
Mast cells, Th2 cells, Innate lymphoid cells
Memory B cells, B cells, Follicular B cells
Macrophages, Monocytes, Dendritic cells
B cells, Memory B cells, Plasma cells
Epithelial cells, Stromal cells, Proliferating cells
CD8+ T cells, Cytotoxic T cells, Memory T cells
B cells, Plasma cells, Memory B cells
Epithelial cells, Stromal cells, Unknown cells
B cell progenitors, Developing B cells, Plasma cells
Epithelial cells, Keratinocytes, Inflammatory cells
Natural Killer cells, NKT cells, NK T cells
