Smooth muscle cells, Pericytes, Fibroblasts
Smooth muscle cells, Vascular smooth muscle, Pericytes
Neutrophils, Granulocytes, Myeloid cells
Mast cells, Immune cells, Granulocytes
Macrophages, Kupffer cells, Phagocytes
Fibroblasts, Stromal cells, Mesenchymal cells
Dendritic cells, Antigen presenting cells, Immune cells
Dendritic cells, Antigen presenting cells, Myeloid cells
Red blood cells, Erythrocytes, Blood cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
Endothelial cells, Blood vessel cells, Vascular cells
Cholangiocytes, Bile duct cells, Epithelial cells
Endothelial cells, Vascular cells, Blood vessel cells
CD8+ T cells, Cytotoxic T cells, T lymphocytes
T cells, CD4+ T cells, Lymphocytes
B cells, Memory B cells, Lymphocytes
Endothelial cells, Vascular cells, Blood vessel cells
T cells, Lymphocytes, Immune cells
Endothelial cells, Vascular cells, Blood vessel cells
Type 2 alveolar cells, Pneumocytes, Lung epithelial cells
NK cells, Cytotoxic lymphocytes, Natural killer cells
Macrophages, Alveolar macrophages, Immune cells
Ciliated cells, Airway epithelial cells, Lung cells
B cells, Plasma cells, Lymphocytes
Lung epithelial cells, Secretory cells, Airway cells
Endothelial cells, Vascular cells, Blood vessel cells
Secretory cells, Club cells, Airway epithelial cells
Type 1 alveolar cells, Pneumocytes, Lung epithelial cells
Endothelial cells, Vascular cells, Blood vessel cells
Endothelial cells, Vascular cells, Blood vessel cells
Dendritic cells, Antigen presenting cells, Immune cells
Endothelial cells, Epithelial cells, Vascular cells
Smooth muscle cells, Myofibroblasts, Pericytes
Mast cells, Immune cells, Granulocytes
Fibroblasts, Stromal cells, Mesenchymal cells
Neutrophils, Granulocytes, Myeloid cells
Fibroblasts, Stromal cells, Mesenchymal cells
Neuroendocrine cells, Endocrine cells, Secretory cells
Ionocytes, Specialized epithelial cells, Secretory cells
Endothelial cells, Vascular cells, Blood vessel cells
Monocytes, Macrophages, Myeloid cells
Mast cells, Immune cells, Granulocytes
Type 2 alveolar cells, Type 1 alveolar cells, Pneumocytes
Plasma cells, B cells, Secretory cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
Lymphatic endothelial cells, Endothelial cells, Vascular cells
Fibroblasts, Stromal cells, Mesenchymal cells
Dendritic cells, Antigen presenting cells, Immune cells
Ciliated cells, Airway epithelial cells, Lung cells
T cells, CD4+ T cells, Lymphocytes
Neutrophils, Granulocytes, Myeloid cells
Basal cells, Epithelial cells, Keratinocytes
B cells, Memory B cells, Lymphocytes
Type 1 alveolar cells, Pneumocytes, Lung epithelial cells
CD8+ T cells, Cytotoxic T cells, NK cells
Club cells, Secretory cells, Airway epithelial cells
Alveolar macrophages, Macrophages, Tissue-resident macrophages
Plasmacytoid dendritic cells, Dendritic cells, Immune cells
Fibroblasts, Stromal cells, Mesenchymal cells
Secretory cells, Epithelial cells, Club cells
Smooth muscle cells, Myofibroblasts, Stromal cells
NK cells, Cytotoxic lymphocytes, T cells
Platelets, Megakaryocytes, Blood cells
Mesothelial cells, Epithelial cells, Lining cells
Mesothelial cells, Stromal cells, Fibroblasts
Endothelial cells, Vascular cells, Blood vessel cells
Endothelial cells, Vascular cells, Blood vessel cells
Secretory cells, Mucosal cells, Epithelial cells
Smooth muscle cells, Myofibroblasts, Pericytes
Pericytes, Vascular smooth muscle cells, Mural cells
Endothelial cells, Vascular cells, Blood vessel cells
Club cells, Secretory cells, Airway epithelial cells
Endothelial cells, Vascular cells, Blood vessel cells
Proliferating cells, Dividing cells, Cycling cells
Proliferating cells, Dividing cells, Cycling cells
Endothelial cells, Vascular cells, Blood vessel cells
Astrocytes, Glial cells, Neural cells
Endothelial cells, Vascular cells, Blood vessel cells
Neurons, Excitatory neurons, Brain cells
Neurons, Neural cells, Brain cells
Neurons, Excitatory neurons, Brain cells
Neurons, Neural cells, Brain cells
Fibroblasts, Stromal cells, Mesenchymal cells
Neurons, Neural cells, Brain cells
Oligodendrocyte precursors, Glial cells, Neural cells
Interneurons, Inhibitory neurons, GABAergic neurons
Neurons, Neural cells, Brain cells
Interneurons, Inhibitory neurons, GABAergic neurons
Oligodendrocytes, Myelinating cells, Glial cells
Microglia, Immune cells, Brain macrophages
Neurons, Neural cells, Brain cells
Neurons, Neural cells, Brain cells
Interneurons, Inhibitory neurons, GABAergic neurons
Neurons, Neural cells, Brain cells
Neurons, Neural cells, Brain cells
Neurons, Neural cells, Brain cells
Proliferating NK cells, NK cells, Dividing cells
B cells, Memory B cells, Lymphocytes
B cells, Naive B cells, Lymphocytes
Plasma cells, B cells, Antibody-secreting cells
CD8+ T cells, NK cells, Cytotoxic lymphocytes
CD4+ T cells, T cells, Lymphocytes
Proliferating T cells, Dividing cells, T cells
T cells, CD4+ T cells, Memory T cells
Regulatory T cells, T cells, CD4+ T cells
CD8+ T cells, Naive T cells, Cytotoxic T cells
Proliferating CD8+ T cells, T cells, Dividing cells
CD8+ T cells, Cytotoxic T cells, T lymphocytes
CD8+ T cells, NK cells, Cytotoxic T cells
Plasmacytoid dendritic cells, Dendritic cells, Immune cells
Conventional dendritic cells, Dendritic cells, Antigen presenting cells
Dendritic cells, Myeloid dendritic cells, Antigen presenting cells
Plasmacytoid dendritic cells, Dendritic cells, B cells
Classical monocytes, Monocytes, Myeloid cells
NK cells, T cells, Natural killer cells
γδ T cells, T cells, NK cells
NK cells, T cells, Cytotoxic cells
Platelets, Megakaryocytes, Blood cells
Innate lymphoid cells, NK cells, Immune cells
Non-classical monocytes, Monocytes, Myeloid cells
Hematopoietic stem cells, Progenitor cells, Stem cells
Erythrocytes, Red blood cells, Blood cells
NK cells, Natural killer cells, Immune cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
CD4+ T cells, T cells, Lymphocytes
B cells, Memory B cells, Naive B cells
Vascular smooth muscle cells, Pericytes, Endothelial cells
Macrophages, Immune cells, Myeloid cells
Acinar cells, Exocrine cells, Pancreatic cells
Beta cells, Islet cells, Endocrine cells
Alpha cells, Islet cells, Endocrine cells
Delta cells, Islet cells, Endocrine cells
Ductal cells, Epithelial cells, Pancreatic cells
Enterochromaffin cells, Endocrine cells, Epithelial cells
Fibroblasts, Stromal cells, Mesenchymal cells
Schwann cells, Neural cells, Glial cells
Endothelial cells, Vascular cells, Blood vessel cells
PP cells, Islet cells, Endocrine cells
Conventional dendritic cells, Dendritic cells, Antigen presenting cells
Activated B cells, Germinal center B cells, B cells
T follicular helper cells, CD4+ T cells, T cells
CD8+ T cells, Cytotoxic T cells, NK cells
Proliferating cells, Dividing cells, Cycling cells
Stromal cells, Fibroblasts, Supporting cells
Proliferating myeloid cells, Dividing cells, Immune cells
T follicular helper cells, Proliferating T cells, T cells
NK cells, Cytotoxic cells, T cells
Neutrophils, Granulocytes, Myeloid cells
Stromal cells, Fibroblasts, Supporting cells
Memory B cells, B cells, Germinal center B cells
Innate lymphoid cells, NK cells, Immune cells
Mast cells, Granulocytes, Immune cells
Memory B cells, B cells, Lymphocytes
Macrophages, Myeloid cells, Phagocytes
B cells, Memory B cells, Naive B cells
T cells, Lymphocytes, Immune cells
CD8+ T cells, Cytotoxic T cells, T lymphocytes
Plasma cells, B cells, Antibody-secreting cells
Endothelial cells, Vascular cells, Blood vessel cells
Pro-B cells, B cell precursors, Early B cells
Epithelial cells, Barrier cells, Mucosal cells
NK cells, Natural killer cells, Cytotoxic lymphocytes
