"Adipocytes, Mammary epithelial cells, Myoepithelial cells, Lipid-storing cells"
"Smooth muscle cells, Myofibroblasts, Stromal cells, Fibroblasts"
"Neurons, Synaptic cells, Neural cells, Interneurons"
"Smooth muscle cells, Myofibroblasts, Stromal cells, Fibroblasts"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"T cells, Lymphocytes, Immune cells, Leukocytes"
"T cells, Cytotoxic T cells, Natural Killer cells, Lymphocytes"
"B cells, Plasma cells, Memory B cells, Lymphocytes"
"Fibroblasts, Stromal cells, Extracellular matrix cells, Smooth muscle cells"
"Prostatic epithelial cells, Secretory epithelial cells, Luminal epithelial cells, Basal epithelial cells"
"Basal epithelial cells, Proliferative epithelial cells, Epithelial progenitor cells, Luminal epithelial cells"
"Prostatic epithelial cells, Luminal epithelial cells, Basal epithelial cells, Secretory epithelial cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells, Capillary endothelial cells"
"Skeletal muscle fibers, Myocytes, Muscle cells, Muscle fibers"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Venous endothelial cells"
"Fibroblasts, Satellite cells, Stromal cells, Mesenchymal cells"
"Smooth muscle cells, Vascular smooth muscle cells, Myocytes, Pericytes"
"Schwann cells, Peripheral nerve cells, Glial cells, Neurons"
"Fibroblasts, Satellite cells, Muscle progenitor cells, Mesenchymal stem cells"
"Myocytes, Muscle fibers, Skeletal muscle cells, Myofibers"
"Monocytes, Macrophages, Dendritic cells, Myeloid cells"
"T cells, Lymphocytes, Immune cells, Leukocytes"
"Natural Killer cells, Cytotoxic T cells, CD8+ T cells, Lymphocytes"
"Fibroblasts, Stromal cells, Extracellular matrix cells, Smooth muscle cells"
"Endothelial cells, Vascular endothelial cells, Lymphatic endothelial cells, Capillary endothelial cells"
"Adipocytes, Fat cells, Lipid-storing cells, Brown adipocytes"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells"
"Keratinocytes, Basal epithelial cells, Epidermal stem cells, Epithelial progenitor cells"
"Melanocytes, Pigment cells, Melanin-producing cells, Skin melanocytes"
"Mast cells, Basophils, Hematopoietic progenitor cells, Immune cells"
"T cells, Lymphocytes, Immune cells, Leukocytes"
"Macrophages, Langerhans cells, Dendritic cells, Antigen-presenting cells"
"Monocytes, Macrophages, Dendritic cells, Myeloid cells"
"Keratinocytes, Differentiated keratinocytes, Cornified cells, Stratum corneum cells"
"Keratinocytes, Basal cells, Epidermal stem cells, Suprabasal keratinocytes"
"Keratinocytes, Epidermal cells, Terminally differentiated keratinocytes, Cornified envelope cells"
"Keratinocytes, Basal epithelial cells, Skin epithelial cells, Epidermal stem cells"
"Endothelial cells, Vascular endothelial cells, Capillary endothelial cells, Lymphatic endothelial cells"
"Adipocytes, Fat cells, Subcutaneous adipocytes, Lipid-storing cells"
"Smooth muscle cells, Myofibroblasts, Vascular smooth muscle cells, Pericytes"
"Fibroblasts, Dermal fibroblasts, Stromal cells, Mesenchymal cells"
"Keratinocytes, Hair follicle cells, Skin progenitor cells, Epithelial cells"
